name,reduceInfect,reduceRisk,reduceSympt,reduceHosp,reduceIcu,reduceMort,vacEffectDays,waneLnOdds,waneOut,baseName
cur_2,0.25,0.25,0.25,0.25,0.25,0.25,1,1,1,cur_2
cur_3,0.25,0.25,0.25,0.25,0.25,0.25,1,1,1,cur_3
target,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,cur_2
multi,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,cur_2
cur_2_60,0.25,0.25,0.25,0.25,0.25,0.25,1,1,1,cur_2_60
cur_3_60,0.25,0.25,0.25,0.25,0.25,0.25,1,1,1,cur_3_60
target_60,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,cur_3_60
multi_60,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,cur_3_60
cur_2_70,0.25,0.25,0.25,0.25,0.25,0.25,1,1,1,cur_2_70
cur_3_70,0.25,0.25,0.25,0.25,0.25,0.25,1,1,1,cur_3_70
target_70,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,cur_3_70
multi_70,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,cur_3_70
base_post,1,1,1,1,1,1,1,1,1,recover
omlike_post,1,1,1,1,1,1,1,1,1,recover
novel_post,1,1,1,1,1,1,1,1,1,recover
omlike_high_post,1,1,1,1,1,1,1,1,1,recover
novel_high_post,1,1,1,1,1,1,1,1,1,recover
omlike_escape_post,1,1,1,1,1,1,1,1,1,recover
novel_escape_post,1,1,1,1,1,1,1,1,1,recover
omlike_escape_high_post,1,1,1,1,1,1,1,1,1,recover
novel_escape_high_post,1,1,1,1,1,1,1,1,1,recover
base_post_60,1,1,1,1,1,1,1,1,1,recover_60
omlike_post_60,1,1,1,1,1,1,1,1,1,recover_60
novel_post_60,1,1,1,1,1,1,1,1,1,recover_60
omlike_high_post_60,1,1,1,1,1,1,1,1,1,recover_60
novel_high_post_60,1,1,1,1,1,1,1,1,1,recover_60
omlike_escape_post_60,1,1,1,1,1,1,1,1,1,recover_60
novel_escape_post_60,1,1,1,1,1,1,1,1,1,recover_60
omlike_escape_high_post_60,1,1,1,1,1,1,1,1,1,recover_60
novel_escape_high_post_60,1,1,1,1,1,1,1,1,1,recover_60
base_post_70,1,1,1,1,1,1,1,1,1,recover_70
omlike_post_70,1,1,1,1,1,1,1,1,1,recover_70
novel_post_70,1,1,1,1,1,1,1,1,1,recover_70
omlike_high_post_70,1,1,1,1,1,1,1,1,1,recover_70
novel_high_post_70,1,1,1,1,1,1,1,1,1,recover_70
omlike_escape_post_70,1,1,1,1,1,1,1,1,1,recover_70
novel_escape_post_70,1,1,1,1,1,1,1,1,1,recover_70
omlike_escape_high_post_70,1,1,1,1,1,1,1,1,1,recover_70
novel_escape_high_post_70,1,1,1,1,1,1,1,1,1,recover_70

